ParentTopic,ComparedToTopic,IndexofSimilarity
16,44,0.07193452127037842
16,45,0.07260783934007303
16,46,0.05326315925689023
16,47,0.06817069730409635
16,48,0.049470785122393605
16,49,0.07491859601289395
16,50,0.14502659710178864
16,51,0.0
16,52,0.0
16,53,0.0
16,54,0.0
16,55,0.009565921186765294
16,56,0.0013621600428189173
16,57,0.0
16,58,0.0
16,59,0.0
16,60,0.0
16,61,0.0
16,62,0.0
16,63,0.0
16,64,0.0
16,65,0.0
16,66,0.0
16,67,0.0
16,68,0.0
16,69,0.0
16,70,0.0
16,71,0.0
16,72,0.0
16,73,0.0
16,74,0.0
16,75,0.0
16,76,0.0
16,77,0.0
17,18,0.12323628493243328
17,19,0.026196218348172276
17,20,0.09200841878737763
17,21,0.02124191486242093
17,22,0.05698939861407878
17,23,0.01867823224612842
17,24,0.06394567094185513
17,25,0.042368136255855324
17,26,0.03513108471232268
17,27,0.07277062037832555
17,28,0.08931044792972781
17,29,0.03795141203957093
17,30,0.04044422415142367
17,31,0.01873973257298557
17,32,0.058399749366578296
17,33,0.018505267110465132
17,34,0.015238682567692388
17,35,0.03951320999958369
17,36,0.02910612650884773
17,37,0.04907714035206328
17,38,0.0
17,39,0.08949446073210922
17,40,0.008294431575798964
17,41,0.017654143986904496
17,42,0.0289047078677813
17,43,0.0765020008061553
17,44,0.05892616799823198
17,45,0.11318438904714057
17,46,0.06932231452658039
17,47,0.02615274951808021
17,48,0.033728788030522074
17,49,0.018074490304121976
17,50,0.05255464792173093
17,51,0.0
17,52,0.0
17,53,0.01963445730106006
17,54,0.0
17,55,0.0
17,56,0.001283491307020451
17,57,0.0
17,58,0.0
17,59,0.0
17,60,0.0
17,61,0.0
17,62,0.0
17,63,0.0
17,64,0.0
17,65,0.0
17,66,0.0
17,67,0.0
17,68,0.0
17,69,0.0
17,70,0.0
17,71,0.0
17,72,0.0
17,73,0.0
17,74,0.0
17,75,0.0
17,76,0.0
17,77,0.0
18,19,0.04221143494392819
18,20,0.1908615858834618
18,21,0.035192575063082335
18,22,0.0798679937522545
18,23,0.08662863711505253
18,24,0.08155495310885208
18,25,0.043395260829991754
18,26,0.042135910319056086
18,27,0.05591729811279963
18,28,0.15003274055043442
18,29,0.11289588977291741
18,30,0.04671873879084035
18,31,0.04852660657530904
18,32,0.05532207500970609
18,33,0.029988392261003666
18,34,0.014791001141931815
18,35,0.024727056041879653
18,36,0.09730981841354124
18,37,0.04872701543216725
18,38,0.013541511294416332
18,39,0.051061019739660776
18,40,0.022485000302370512
18,41,0.019235734458629434
18,42,0.01661901445590736
18,43,0.0670495746669057
18,44,0.043216711067982624
18,45,0.0769985315968424
18,46,0.09897190362981188
18,47,0.024613890164717336
18,48,0.029780484733960343
18,49,0.01695374542403898
18,50,0.09473366420623178
18,51,0.0
18,52,0.002601509133022589
18,53,0.032716357804436685
18,54,0.00442248796342082
18,55,0.0
18,56,0.0
18,57,0.0
18,58,0.0
18,59,0.0
18,60,0.0
18,61,0.0
18,62,0.0
18,63,0.0
18,64,0.0
18,65,0.0
18,66,0.0
18,67,0.0
18,68,0.0
18,69,0.0
18,70,0.0
18,71,0.0
18,72,0.0
18,73,0.0
18,74,0.0
18,75,0.0
18,76,0.0
18,77,0.0
19,20,0.21344578235017728
19,21,0.011671441114472122
19,22,0.037879280043997134
19,23,0.01410884976921316
19,24,0.020607702024376617
19,25,0.06849441331196451
19,26,0.07768551253921208
19,27,0.033302306659517944
19,28,0.0718103083583803
19,29,0.019203504073561067
19,30,0.03552951421903764
19,31,0.09686853863346163
19,32,0.04137825007025084
19,33,0.01106874942911681
19,34,0.2080067053912655
19,35,0.10273353395589971
